text_id,song_id,corpus,category,presence,density
p00034,af092e6b-dce4-4354-8,prompt,timbre,0,0.0
p00034,af092e6b-dce4-4354-8,prompt,function,0,0.0
p00034,af092e6b-dce4-4354-8,prompt,theory,0,0.0
p00034,af092e6b-dce4-4354-8,prompt,story,1,0.3333333333333333
p00035,af1cb15b-e547-4e02-8,prompt,genre,1,0.1538461538461538
p00035,af1cb15b-e547-4e02-8,prompt,mood,1,0.1538461538461538
p00035,af1cb15b-e547-4e02-8,prompt,instrumentation,1,0.1538461538461538
p00035,af1cb15b-e547-4e02-8,prompt,timbre,1,0.0769230769230769
p00035,af1cb15b-e547-4e02-8,prompt,function,0,0.0
p00035,af1cb15b-e547-4e02-8,prompt,theory,1,0.3076923076923077
p00035,af1cb15b-e547-4e02-8,prompt,story,1,0.1538461538461538
p00036,c2eccd6c-3c7f-4e67-9,prompt,genre,1,0.3333333333333333
p00036,c2eccd6c-3c7f-4e67-9,prompt,mood,0,0.0
p00036,c2eccd6c-3c7f-4e67-9,prompt,instrumentation,0,0.0
p00036,c2eccd6c-3c7f-4e67-9,prompt,timbre,0,0.0
p00036,c2eccd6c-3c7f-4e67-9,prompt,function,0,0.0
p00036,c2eccd6c-3c7f-4e67-9,prompt,theory,0,0.0
p00036,c2eccd6c-3c7f-4e67-9,prompt,story,1,0.6666666666666666
p00037,97674f07-7bc3-404e-9,prompt,genre,0,0.0
p00037,97674f07-7bc3-404e-9,prompt,mood,1,0.1666666666666666
p00037,97674f07-7bc3-404e-9,prompt,instrumentation,1,0.6666666666666666
p00037,97674f07-7bc3-404e-9,prompt,timbre,0,0.0
p00037,97674f07-7bc3-404e-9,prompt,function,0,0.0
p00037,97674f07-7bc3-404e-9,prompt,theory,0,0.0
p00037,97674f07-7bc3-404e-9,prompt,story,1,0.1666666666666666
p00038,9e8106ce-2e4a-450c-8,prompt,genre,1,0.25
p00038,9e8106ce-2e4a-450c-8,prompt,mood,0,0.0
p00038,9e8106ce-2e4a-450c-8,prompt,instrumentation,0,0.0
p00038,9e8106ce-2e4a-450c-8,prompt,timbre,0,0.0
p00038,9e8106ce-2e4a-450c-8,prompt,function,0,0.0
p00038,9e8106ce-2e4a-450c-8,prompt,theory,1,0.5
p00038,9e8106ce-2e4a-450c-8,prompt,story,1,0.25
p00039,c03a69e7-7bcb-4c85-b,prompt,genre,1,0.4
p00039,c03a69e7-7bcb-4c85-b,prompt,mood,0,0.0
